
> @werkles/tinkarden-membrane@0.0.0 dev
> next dev -p 3339

   ▲ Next.js 15.5.18
   - Local:        http://localhost:3339
   - Network:      http://10.1.10.194:3339

 ✓ Starting...
 ✓ Ready in 1418ms
 ○ Compiling /api/feral/[...path] ...
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 75ms
 GET /api/feral/v1/engine-room 200 in 46ms
 GET /api/feral/v1/engine-room 200 in 51ms
 GET /api/feral/v1/engine-room 200 in 38ms
 GET /api/feral/v1/engine-room 200 in 32ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 91ms
 GET /api/feral/v1/engine-room 200 in 35ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 76ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 81ms
 GET /api/feral/v1/engine-room 200 in 70ms
 GET /api/feral/v1/engine-room 200 in 72ms
 GET /api/feral/v1/engine-room 200 in 71ms
 GET /api/feral/v1/engine-room 200 in 44ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 107ms
 GET /api/feral/v1/engine-room 200 in 43ms
 GET /api/feral/v1/engine-room 200 in 43ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 84ms
 GET /api/feral/v1/engine-room 200 in 40ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 70ms
 GET /api/feral/v1/engine-room 200 in 47ms
 GET /api/feral/v1/engine-room 200 in 34ms
 GET /api/feral/v1/engine-room 200 in 35ms
 GET /api/feral/v1/engine-room 200 in 39ms
 GET /api/feral/v1/engine-room 200 in 36ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 60ms
 GET /api/feral/v1/engine-room 200 in 19ms
 GET /api/feral/v1/engine-room 200 in 23ms
 GET /api/feral/v1/engine-room 200 in 37ms
 GET /api/feral/v1/engine-room 200 in 39ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 92ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 61ms
 GET /api/feral/v1/engine-room 200 in 28ms
 GET /api/feral/v1/engine-room 200 in 29ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 77ms
 GET /api/feral/v1/engine-room 200 in 57ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 78ms
 GET /api/feral/v1/engine-room 200 in 56ms
 GET /api/feral/v1/engine-room 200 in 41ms
 GET /api/feral/v1/engine-room 200 in 42ms
 GET /api/real-aeye-relay?relay_id=real_aeye_relay_20260628100637_ca9e45 200 in 88ms
 GET /api/feral/v1/engine-room 200 in 35ms
